pt,a,b,c,d,ROR,ROR_lower,ROR_upper,PRR,PRR_chi2,IC,IC025,signal
Chronic obstructive pulmonary disease,3,1,2124,6095,8.608757062146893,0.8949639261137241,82.80858701968131,8.59802538787024,2.800766623181286,1.1894369059414855,-0.8260515502374766,False
Dermatitis allergic,3,1,2124,6095,8.608757062146893,0.8949639261137241,82.80858701968131,8.59802538787024,2.800766623181286,1.1894369059414855,-0.8260515502374766,False
Empyema,3,1,2124,6095,8.608757062146893,0.8949639261137241,82.80858701968131,8.59802538787024,2.800766623181286,1.1894369059414855,-0.8260515502374766,False
Fracture,3,1,2124,6095,8.608757062146893,0.8949639261137241,82.80858701968131,8.59802538787024,2.800766623181286,1.1894369059414855,-0.8260515502374766,False
Hepatic enzyme increased,3,1,2124,6095,8.608757062146893,0.8949639261137241,82.80858701968131,8.59802538787024,2.800766623181286,1.1894369059414855,-0.8260515502374766,False
Incision site rash,3,1,2124,6095,8.608757062146893,0.8949639261137241,82.80858701968131,8.59802538787024,2.800766623181286,1.1894369059414855,-0.8260515502374766,False
Injection site bruising,3,1,2124,6095,8.608757062146893,0.8949639261137241,82.80858701968131,8.59802538787024,2.800766623181286,1.1894369059414855,-0.8260515502374766,False
Joint dislocation,3,1,2124,6095,8.608757062146893,0.8949639261137241,82.80858701968131,8.59802538787024,2.800766623181286,1.1894369059414855,-0.8260515502374766,False
Post procedural fever,3,1,2124,6095,8.608757062146893,0.8949639261137241,82.80858701968131,8.59802538787024,2.800766623181286,1.1894369059414855,-0.8260515502374766,False
Procedural dizziness,3,1,2124,6095,8.608757062146893,0.8949639261137241,82.80858701968131,8.59802538787024,2.800766623181286,1.1894369059414855,-0.8260515502374766,False
Rash pruritic,3,1,2124,6095,8.608757062146893,0.8949639261137241,82.80858701968131,8.59802538787024,2.800766623181286,1.1894369059414855,-0.8260515502374766,False
Procedural haemorrhage,5,2,2122,6094,7.179547596606975,1.3918568083334764,37.03391281583259,7.165021156558533,5.392791388241024,1.2511309689191248,-0.33654845809306444,False
White blood cell count increased,5,2,2122,6094,7.179547596606975,1.3918568083334764,37.03391281583259,7.165021156558533,5.392791388241024,1.2511309689191248,-0.33654845809306444,False
Femoral nerve palsy,6,3,2121,6093,5.745403111739745,1.4356104656222863,22.993463552162275,5.7320169252468265,5.836498350729874,1.2006665316385658,-0.238994691405354,False
Dehydration,4,2,2123,6094,5.7409326424870475,1.0507385782773209,31.36680073135627,5.7320169252468265,3.3006311633462957,1.1329024785353896,-0.6013997478007411,False
Atrioventricular block first degree,2,1,2125,6095,5.736470588235294,0.5198767136838921,63.297881869926485,5.7320169252468265,0.9115268917720454,0.9703063656610218,-1.3714167125872656,False
Bronchopleural fistula,2,1,2125,6095,5.736470588235294,0.5198767136838921,63.297881869926485,5.7320169252468265,0.9115268917720454,0.9703063656610218,-1.3714167125872656,False
Compartment syndrome,2,1,2125,6095,5.736470588235294,0.5198767136838921,63.297881869926485,5.7320169252468265,0.9115268917720454,0.9703063656610218,-1.3714167125872656,False
Complication associated with device,2,1,2125,6095,5.736470588235294,0.5198767136838921,63.297881869926485,5.7320169252468265,0.9115268917720454,0.9703063656610218,-1.3714167125872656,False
Exposure via eye contact,2,1,2125,6095,5.736470588235294,0.5198767136838921,63.297881869926485,5.7320169252468265,0.9115268917720454,0.9703063656610218,-1.3714167125872656,False
Flatulence,2,1,2125,6095,5.736470588235294,0.5198767136838921,63.297881869926485,5.7320169252468265,0.9115268917720454,0.9703063656610218,-1.3714167125872656,False
Injection site discomfort,2,1,2125,6095,5.736470588235294,0.5198767136838921,63.297881869926485,5.7320169252468265,0.9115268917720454,0.9703063656610218,-1.3714167125872656,False
Injection site inflammation,2,1,2125,6095,5.736470588235294,0.5198767136838921,63.297881869926485,5.7320169252468265,0.9115268917720454,0.9703063656610218,-1.3714167125872656,False
