pt,a,b,c,d,ROR,ROR_lower,ROR_upper,PRR,PRR_chi2,IC,IC025,signal
Blood loss anaemia,2,0,2125,1127,2.1214117647058823,0.09557998585230172,47.08504437724971,2.1203573107663374,0.031694542072039526,0.22844124870908428,-2.1922956710615216,False
Breast haematoma,2,0,2125,1127,2.1214117647058823,0.09557998585230172,47.08504437724971,2.1203573107663374,0.031694542072039526,0.22844124870908428,-2.1922956710615216,False
Bronchopleural fistula,2,0,2125,1127,2.1214117647058823,0.09557998585230172,47.08504437724971,2.1203573107663374,0.031694542072039526,0.22844124870908428,-2.1922956710615216,False
Cholinergic syndrome,2,0,2125,1127,2.1214117647058823,0.09557998585230172,47.08504437724971,2.1203573107663374,0.031694542072039526,0.22844124870908428,-2.1922956710615216,False
Compartment syndrome,2,0,2125,1127,2.1214117647058823,0.09557998585230172,47.08504437724971,2.1203573107663374,0.031694542072039526,0.22844124870908428,-2.1922956710615216,False
Crying,2,0,2125,1127,2.1214117647058823,0.09557998585230172,47.08504437724971,2.1203573107663374,0.031694542072039526,0.22844124870908428,-2.1922956710615216,False
Delayed graft function,2,0,2125,1127,2.1214117647058823,0.09557998585230172,47.08504437724971,2.1203573107663374,0.031694542072039526,0.22844124870908428,-2.1922956710615216,False
Drug-induced liver injury,2,0,2125,1127,2.1214117647058823,0.09557998585230172,47.08504437724971,2.1203573107663374,0.031694542072039526,0.22844124870908428,-2.1922956710615216,False
Electrocardiogram T wave inversion,2,0,2125,1127,2.1214117647058823,0.09557998585230172,47.08504437724971,2.1203573107663374,0.031694542072039526,0.22844124870908428,-2.1922956710615216,False
Endometritis,2,0,2125,1127,2.1214117647058823,0.09557998585230172,47.08504437724971,2.1203573107663374,0.031694542072039526,0.22844124870908428,-2.1922956710615216,False
Expired product administered,2,0,2125,1127,2.1214117647058823,0.09557998585230172,47.08504437724971,2.1203573107663374,0.031694542072039526,0.22844124870908428,-2.1922956710615216,False
Exposure via eye contact,2,0,2125,1127,2.1214117647058823,0.09557998585230172,47.08504437724971,2.1203573107663374,0.031694542072039526,0.22844124870908428,-2.1922956710615216,False
